tweet,sentiment_label
@Jaunporia Sir, you may have a look at the following link. https://t.co/xABr0LaNJs I know the writer rather well, a… https://t.co/Ujs0LQLtpq,Neutral
@BJP4India @AmitShah What have you done for those Karyakartas??They are not scapegoats to be used as political fodd… https://t.co/NDecml8wSD,Neutral
@republic #AmitShahVsMamata yea i am watching. my answer to your question as to the battle between mamata bannerjee… https://t.co/xZF3kxJfnW,Neutral
@republic #AmitShahVsMamaa the similarity between both is that both have sacrificed lot of people either at the bor… https://t.co/On7EZOCFc2,Neutral
Attacks, that is not the punishment Mamata Bannerjee qualifies for.

She should be sent to jail https://t.co/XXR5qfRgq2,Neagtive
@Kalingatv24x7 She is Mamta from Makan giri, Odisha. Not Mamata Bannerjee,Neutral
MAMATA BANERJEE WANTS TO VISIT CHINA ?
WE THE PEOPLE DO NOT WANT PMO TO SANCTION ANY OFFICIAL FOREIGN TRIPS TO ARVI… https://t.co/H9Shucx3nL,Positive
MAMATA BANERJEE WANTS TO VISIT CHINA ?
WE THE PEOPLE DO NOT WANT PMO TO SANCTION ANY OFFICIAL FOREIGN TRIPS TO ARVI… https://t.co/CXOJmUaQqL,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
RT @_Manish_pal: Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of 10 http…,Positive
Congratulations to Mamata Bannerjee for successfully opposing the Swatch Bharat Abhiyan by bagging 7 places out of… https://t.co/51djUjzo3o,Positive
Mamata Bannerjee’s China trip cancelled at the last minute. Confusion getting confounded as she was to board her fl… https://t.co/M0YbhAmHMd,Neutral
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
@rishibagree Mamata bannerjee is PM,Neutral
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
West Bengal Chief Minister Mamata Bannerjee likens BJP to a militant organization
https://t.co/xvWIaLzkJy,Neutral
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
RT @akdwaaz: BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial! This is the…,Positive
BWAHAHAHAHAHAHAHAHAHAHHA! Mamata Bannerjee called @BJP4India a militant organization 😂👇
Wow WB CM @MamataOfficial!… https://t.co/J6pRGPfeZz,Positive
